timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight
12.0,V2I,BS_1,vehicle_2,-79.12,109.12,812.06,True
12.0,V2V,flow_east.0,flow_west.0,-94.89,117.89,2228.33,True
12.0,V2V,flow_east.0,vehicle_0,-95.05,118.05,2271.70,True
12.0,V2V,flow_east.0,vehicle_1,-95.49,118.49,2389.33,True
12.0,V2V,flow_east.0,vehicle_2,-94.11,117.11,2038.77,True
12.0,V2V,flow_west.0,flow_east.0,-94.89,117.89,2228.33,True
12.0,V2V,flow_west.0,vehicle_0,-60.93,83.93,44.69,True
12.0,V2V,flow_west.0,vehicle_1,-72.08,95.08,161.39,True
12.0,V2V,flow_west.0,vehicle_2,-73.49,96.49,189.83,True
12.0,V2V,vehicle_0,flow_east.0,-95.05,118.05,2271.70,True
12.0,V2V,vehicle_0,flow_west.0,-60.93,83.93,44.69,True
12.0,V2V,vehicle_0,vehicle_1,-69.34,92.34,117.63,True
12.0,V2V,vehicle_0,vehicle_2,-75.27,98.27,232.93,True
12.0,V2V,vehicle_1,flow_east.0,-95.49,118.49,2389.33,True
12.0,V2V,vehicle_1,flow_west.0,-72.08,95.08,161.39,True
12.0,V2V,vehicle_1,vehicle_0,-69.34,92.34,117.63,True
12.0,V2V,vehicle_1,vehicle_2,-78.82,101.82,350.57,True
12.0,V2V,vehicle_2,flow_east.0,-94.11,117.11,2038.77,True
12.0,V2V,vehicle_2,flow_west.0,-73.49,96.49,189.83,True
12.0,V2V,vehicle_2,vehicle_0,-75.27,98.27,232.93,True
12.0,V2V,vehicle_2,vehicle_1,-78.82,101.82,350.57,True
13.0,V2I,BS_1,flow_east.0,-84.74,114.74,1551.14,True
13.0,V2I,BS_1,flow_west.0,-80.98,110.98,1005.82,True
13.0,V2I,BS_1,vehicle_0,-80.54,110.54,956.07,True
13.0,V2I,BS_1,vehicle_1,-81.44,111.44,1061.16,True
13.0,V2I,BS_1,vehicle_2,-78.66,108.66,770.62,True
13.0,V2V,flow_east.0,flow_west.0,-95.29,118.29,2334.06,True
13.0,V2V,flow_east.0,vehicle_0,-95.05,118.05,2269.47,True
13.0,V2V,flow_east.0,vehicle_1,-95.50,118.50,2391.70,True
13.0,V2V,flow_east.0,vehicle_2,-94.11,117.11,2037.43,True
13.0,V2V,flow_west.0,flow_east.0,-95.29,118.29,2334.06,True
13.0,V2V,flow_west.0,vehicle_0,-64.24,87.24,65.44,True
13.0,V2V,flow_west.0,vehicle_1,-63.29,86.29,58.64,True
13.0,V2V,flow_west.0,vehicle_2,-77.38,100.38,296.79,True
13.0,V2V,vehicle_0,flow_east.0,-95.05,118.05,2269.47,True
13.0,V2V,vehicle_0,flow_west.0,-64.24,87.24,65.44,True
13.0,V2V,vehicle_0,vehicle_1,-69.67,92.67,122.23,True
13.0,V2V,vehicle_0,vehicle_2,-75.24,98.24,232.03,True
13.0,V2V,vehicle_1,flow_east.0,-95.50,118.50,2391.70,True
13.0,V2V,vehicle_1,flow_west.0,-63.29,86.29,58.64,True
13.0,V2V,vehicle_1,vehicle_0,-69.67,92.67,122.23,True
13.0,V2V,vehicle_1,vehicle_2,-78.91,101.91,354.27,True
13.0,V2V,vehicle_2,flow_east.0,-94.11,117.11,2037.43,True
13.0,V2V,vehicle_2,flow_west.0,-77.38,100.38,296.79,True
13.0,V2V,vehicle_2,vehicle_0,-75.24,98.24,232.03,True
13.0,V2V,vehicle_2,vehicle_1,-78.91,101.91,354.27,True
14.0,V2I,BS_1,flow_east.0,-85.01,115.01,1600.54,True
14.0,V2I,BS_1,flow_west.0,-81.37,111.37,1051.76,True
14.0,V2I,BS_1,vehicle_0,-80.14,110.14,913.13,True
14.0,V2I,BS_1,vehicle_1,-81.07,111.07,1015.99,True
14.0,V2I,BS_1,vehicle_2,-78.20,108.20,730.68,True
14.0,V2V,flow_east.0,flow_west.0,-95.67,118.67,2439.02,True
14.0,V2V,flow_east.0,vehicle_0,-95.05,118.05,2270.30,True
14.0,V2V,flow_east.0,vehicle_1,-95.50,118.50,2391.97,True
14.0,V2V,flow_east.0,vehicle_2,-94.10,117.10,2034.83,True
14.0,V2V,flow_west.0,flow_east.0,-95.67,118.67,2439.02,True
14.0,V2V,flow_west.0,vehicle_0,-72.49,95.49,169.04,True
14.0,V2V,flow_west.0,vehicle_1,-61.59,84.59,48.23,True
14.0,V2V,flow_west.0,vehicle_2,-80.06,103.06,404.31,True
14.0,V2V,vehicle_0,flow_east.0,-95.05,118.05,2270.30,True
14.0,V2V,vehicle_0,flow_west.0,-72.49,95.49,169.04,True
14.0,V2V,vehicle_0,vehicle_1,-69.63,92.63,121.67,True
14.0,V2V,vehicle_0,vehicle_2,-75.37,98.37,235.47,True
14.0,V2V,vehicle_1,flow_east.0,-95.50,118.50,2391.97,True
14.0,V2V,vehicle_1,flow_west.0,-61.59,84.59,48.23,True
14.0,V2V,vehicle_1,vehicle_0,-69.63,92.63,121.67,True
14.0,V2V,vehicle_1,vehicle_2,-78.98,101.98,357.13,True
14.0,V2V,vehicle_2,flow_east.0,-94.10,117.10,2034.83,True
14.0,V2V,vehicle_2,flow_west.0,-80.06,103.06,404.31,True
14.0,V2V,vehicle_2,vehicle_0,-75.37,98.37,235.47,True
14.0,V2V,vehicle_2,vehicle_1,-78.98,101.98,357.13,True
15.0,V2I,BS_1,flow_east.0,-85.28,115.28,1650.44,True
15.0,V2I,BS_1,flow_west.0,-81.74,111.74,1098.26,True
15.0,V2I,BS_1,vehicle_0,-79.70,109.70,868.23,True
15.0,V2I,BS_1,vehicle_1,-80.68,110.68,971.83,True
15.0,V2I,BS_1,vehicle_2,-77.75,107.75,693.26,True
15.0,V2V,flow_east.0,flow_west.0,-96.04,119.04,2544.26,True
15.0,V2V,flow_east.0,vehicle_0,-95.04,118.04,2267.90,True
15.0,V2V,flow_east.0,vehicle_1,-95.51,118.51,2392.97,True
15.0,V2V,flow_east.0,vehicle_2,-94.09,117.09,2033.30,True
15.0,V2V,flow_west.0,flow_east.0,-96.04,119.04,2544.26,True
15.0,V2V,flow_west.0,vehicle_0,-76.76,99.76,276.54,True
15.0,V2V,flow_west.0,vehicle_1,-71.54,94.54,151.64,True
15.0,V2V,flow_west.0,vehicle_2,-82.10,105.10,511.04,True
15.0,V2V,vehicle_0,flow_east.0,-95.04,118.04,2267.90,True
15.0,V2V,vehicle_0,flow_west.0,-76.76,99.76,276.54,True
15.0,V2V,vehicle_0,vehicle_1,-69.87,92.87,125.07,True
15.0,V2V,vehicle_0,vehicle_2,-75.33,98.33,234.60,True
15.0,V2V,vehicle_1,flow_east.0,-95.51,118.51,2392.97,True
15.0,V2V,vehicle_1,flow_west.0,-71.54,94.54,151.64,True
15.0,V2V,vehicle_1,vehicle_0,-69.87,92.87,125.07,True
15.0,V2V,vehicle_1,vehicle_2,-79.05,102.05,359.67,True
15.0,V2V,vehicle_2,flow_east.0,-94.09,117.09,2033.30,True
15.0,V2V,vehicle_2,flow_west.0,-82.10,105.10,511.04,True
15.0,V2V,vehicle_2,vehicle_0,-75.33,98.33,234.60,True
15.0,V2V,vehicle_2,vehicle_1,-79.05,102.05,359.67,True
16.0,V2I,BS_1,flow_east.0,-85.54,115.54,1701.61,True
16.0,V2I,BS_1,flow_west.0,-82.10,112.10,1144.20,True
16.0,V2I,BS_1,vehicle_0,-79.26,109.26,825.00,True
16.0,V2I,BS_1,vehicle_1,-80.29,110.29,928.81,True
16.0,V2I,BS_1,vehicle_2,-77.32,107.32,659.89,True
16.0,V2V,flow_east.0,flow_west.0,-96.39,119.39,2649.45,True
16.0,V2V,flow_east.0,vehicle_0,-95.04,118.04,2267.23,True
16.0,V2V,flow_east.0,vehicle_1,-95.52,118.52,2395.57,True
16.0,V2V,flow_east.0,vehicle_2,-94.10,117.10,2035.67,True
16.0,V2V,flow_west.0,flow_east.0,-96.39,119.39,2649.45,True
16.0,V2V,flow_west.0,vehicle_0,-79.58,102.58,382.35,True
16.0,V2V,flow_west.0,vehicle_1,-76.03,99.03,254.09,True
16.0,V2V,flow_west.0,vehicle_2,-83.69,106.69,613.86,True
16.0,V2V,vehicle_0,flow_east.0,-95.04,118.04,2267.23,True
16.0,V2V,vehicle_0,flow_west.0,-79.58,102.58,382.35,True
