timestamp,vehicle_id,desired_bs_id,assigned_bs_id,accepted,baseline_name,score,throughput_truth,snr_db_truth
0.0,we_0,BS_1,BS_1,1,nearest,-336.1140431460727,38.0,-2.932770843001916
1.0,ew_0,BS_1,BS_1,1,nearest,-138.38153778593443,440.00000000000006,20.387229156998075
1.0,ns_0,BS_1,BS_1,1,nearest,-142.44729727165765,330.0,19.537229156998073
1.0,sn_0,BS_1,BS_1,1,nearest,-328.76835690193786,38.0,-2.7427708430019324
1.0,we_0,BS_1,BS_1,1,nearest,-327.75486266415635,38.0,-2.7227708430019257
1.0,we_1,BS_1,BS_1,1,nearest,-334.3837519976113,38.0,-2.892770843001938
2.0,ew_0,BS_1,BS_1,1,nearest,-134.10760604827752,440.00000000000006,20.07722915699807
2.0,ew_1,BS_1,BS_1,1,nearest,-137.40210478737217,330.0,19.857229156998063
2.0,ns_0,BS_1,BS_1,1,nearest,-137.89971899898856,440.00000000000006,20.417229156998076
2.0,ns_1,BS_1,BS_1,1,nearest,-141.45398403721262,440.00000000000006,20.277229156998075
2.0,se_0,BS_1,BS_1,1,nearest,-331.24817720253196,38.0,-2.812770843001929
2.0,sn_0,BS_1,BS_1,1,nearest,-319.9406702812257,38.0,-2.5127708430019178
2.0,sn_1,BS_1,BS_1,1,nearest,-326.7486042816404,38.0,-2.692770843001924
2.0,sn_2,BS_1,,0,nearest,-334.026666749827,0.0,
2.0,we_0,BS_1,BS_1,1,nearest,-319.4305088747786,38.0,-2.4927708430019293
2.0,we_1,BS_1,BS_1,1,nearest,-325.7537407306323,38.0,-2.6627708430019235
2.0,we_2,BS_1,,0,nearest,-332.5433679988221,0.0,
2.0,wn_0,BS_1,BS_1,1,nearest,-330.14786460009094,38.0,-2.7827708430019276
3.0,ew_0,BS_1,BS_1,1,nearest,-130.31596218422362,440.00000000000006,20.81722915699807
3.0,ew_1,BS_1,BS_1,1,nearest,-133.09972351586612,440.00000000000006,20.787229156998073
3.0,ew_2,BS_1,BS_1,1,nearest,-136.38703897365028,440.00000000000006,20.61722915699807
3.0,ns_0,BS_1,BS_1,1,nearest,-133.87282211113651,440.00000000000006,20.08722915699807
3.0,ns_1,BS_1,BS_1,1,nearest,-136.87955873686911,440.00000000000006,20.217229156998073
3.0,ns_2,BS_1,BS_1,1,nearest,-140.423902879816,330.0,19.887229156998067
3.0,se_0,BS_1,,0,nearest,-323.8288745618587,0.0,
3.0,se_1,BS_1,,0,nearest,-332.6527355967481,0.0,
3.0,sn_0,BS_1,BS_1,1,nearest,-311.15258716584697,38.0,-2.2627708430019142
3.0,sn_1,BS_1,BS_1,1,nearest,-317.6518257463665,38.0,-2.442770843001922
3.0,sn_2,BS_1,,0,nearest,-324.61926329162907,0.0,
3.0,sn_3,BS_1,,0,nearest,-332.05799553692424,0.0,
3.0,we_0,BS_1,BS_1,1,nearest,-311.14377705491717,38.0,-2.2627708430019142
3.0,we_1,BS_1,BS_1,1,nearest,-317.1616080171117,38.0,-2.4327708430019266
3.0,we_2,BS_1,,0,nearest,-323.6436614550021,0.0,
3.0,we_3,BS_1,,0,nearest,-330.59320864167796,0.0,
3.0,wn_0,BS_1,,0,nearest,-322.710706980726,0.0,
3.0,wn_1,BS_1,,0,nearest,-331.4698115967727,0.0,
4.0,ew_0,BS_1,BS_1,1,nearest,-127.04979338826175,440.00000000000006,21.137229156998067
4.0,ew_1,BS_1,BS_1,1,nearest,-129.32406736566864,440.00000000000006,20.357229156998073
4.0,ew_2,BS_1,BS_1,1,nearest,-132.07301162614564,440.00000000000006,20.42722915699808
4.0,ew_3,BS_1,BS_1,1,nearest,-135.34112457047192,440.00000000000006,20.147229156998073
4.0,ew_4,BS_1,BS_1,1,nearest,-139.29038014163075,330.0,19.927229156998077
4.0,ns_0,BS_1,BS_1,1,nearest,-130.41484769764523,440.00000000000006,20.687229156998068
4.0,ns_1,BS_1,BS_1,1,nearest,-132.87165837754867,440.00000000000006,20.597229156998083
4.0,ns_2,BS_1,BS_1,1,nearest,-135.83936285186263,440.00000000000006,20.05722915699807
