timestamp,vehicle_id,desired_bs_id,assigned_bs_id,accepted,baseline_name,score,throughput_truth,snr_db_truth
0.0,we_0,BS_1,BS_1,1,max_snr,-2.932770843001916,38.0,-2.932770843001916
1.0,ew_0,BS_1,BS_1,1,max_snr,20.387229156998075,440.00000000000006,20.387229156998075
1.0,ns_0,BS_1,BS_1,1,max_snr,19.537229156998073,330.0,19.537229156998073
1.0,sn_0,BS_1,BS_1,1,max_snr,-2.7427708430019324,38.0,-2.7427708430019324
1.0,we_0,BS_1,BS_1,1,max_snr,-2.7227708430019257,38.0,-2.7227708430019257
1.0,we_1,BS_1,BS_1,1,max_snr,-2.892770843001938,38.0,-2.892770843001938
2.0,ew_0,BS_1,BS_1,1,max_snr,20.07722915699807,440.00000000000006,20.07722915699807
2.0,ew_1,BS_1,BS_1,1,max_snr,19.857229156998063,330.0,19.857229156998063
2.0,ns_0,BS_1,BS_1,1,max_snr,20.417229156998076,440.00000000000006,20.417229156998076
2.0,ns_1,BS_1,BS_1,1,max_snr,20.277229156998075,440.00000000000006,20.277229156998075
2.0,se_0,BS_1,BS_1,1,max_snr,-2.812770843001929,38.0,-2.812770843001929
2.0,sn_0,BS_1,BS_1,1,max_snr,-2.5127708430019178,38.0,-2.5127708430019178
2.0,sn_1,BS_1,BS_1,1,max_snr,-2.692770843001924,38.0,-2.692770843001924
2.0,sn_2,BS_1,,0,max_snr,-2.882770843001926,0.0,
2.0,we_0,BS_1,BS_1,1,max_snr,-2.4927708430019293,38.0,-2.4927708430019293
2.0,we_1,BS_1,BS_1,1,max_snr,-2.6627708430019235,38.0,-2.6627708430019235
2.0,we_2,BS_1,,0,max_snr,-2.8427708430019134,0.0,
2.0,wn_0,BS_1,BS_1,1,max_snr,-2.7827708430019276,38.0,-2.7827708430019276
3.0,ew_0,BS_1,BS_1,1,max_snr,20.81722915699807,440.00000000000006,20.81722915699807
3.0,ew_1,BS_1,BS_1,1,max_snr,20.787229156998073,440.00000000000006,20.787229156998073
3.0,ew_2,BS_1,BS_1,1,max_snr,20.61722915699807,440.00000000000006,20.61722915699807
3.0,ns_0,BS_1,BS_1,1,max_snr,20.08722915699807,440.00000000000006,20.08722915699807
3.0,ns_1,BS_1,BS_1,1,max_snr,20.217229156998073,440.00000000000006,20.217229156998073
3.0,ns_2,BS_1,BS_1,1,max_snr,19.887229156998067,330.0,19.887229156998067
3.0,se_0,BS_1,,0,max_snr,-2.6127708430019334,0.0,
3.0,se_1,BS_1,,0,max_snr,-2.8427708430019134,0.0,
3.0,sn_0,BS_1,BS_1,1,max_snr,-2.2627708430019142,38.0,-2.2627708430019142
3.0,sn_1,BS_1,BS_1,1,max_snr,-2.442770843001922,38.0,-2.442770843001922
3.0,sn_2,BS_1,,0,max_snr,-2.6327708430019223,0.0,
3.0,sn_3,BS_1,,0,max_snr,-2.8327708430019367,0.0,
3.0,we_0,BS_1,BS_1,1,max_snr,-2.2627708430019142,38.0,-2.2627708430019142
3.0,we_1,BS_1,BS_1,1,max_snr,-2.4327708430019266,38.0,-2.4327708430019266
3.0,we_2,BS_1,,0,max_snr,-2.6127708430019334,0.0,
3.0,we_3,BS_1,,0,max_snr,-2.792770843001922,0.0,
3.0,wn_0,BS_1,,0,max_snr,-2.5827708430019323,0.0,
3.0,wn_1,BS_1,,0,max_snr,-2.812770843001929,0.0,
4.0,ew_0,BS_1,BS_1,1,max_snr,21.137229156998067,440.00000000000006,21.137229156998067
4.0,ew_1,BS_1,BS_1,1,max_snr,20.357229156998073,440.00000000000006,20.357229156998073
4.0,ew_2,BS_1,BS_1,1,max_snr,20.42722915699808,440.00000000000006,20.42722915699808
4.0,ew_3,BS_1,BS_1,1,max_snr,20.147229156998073,440.00000000000006,20.147229156998073
4.0,ew_4,BS_1,BS_1,1,max_snr,19.927229156998077,330.0,19.927229156998077
4.0,ns_0,BS_1,BS_1,1,max_snr,20.687229156998068,440.00000000000006,20.687229156998068
4.0,ns_1,BS_1,BS_1,1,max_snr,20.597229156998083,440.00000000000006,20.597229156998083
4.0,ns_2,BS_1,BS_1,1,max_snr,20.05722915699807,440.00000000000006,20.05722915699807
4.0,ns_3,BS_1,BS_1,1,max_snr,20.007229156998072,440.00000000000006,20.007229156998072
4.0,se_0,BS_1,,0,max_snr,-2.4127708430019204,0.0,
