timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight,num_paths,p_tot_watts,p_max_watts,dominance,k_factor,k_factor_db,prop_mode,received_power_watts,snr,snr_db,theoretical_throughput_bps,theoretical_throughput_mbps,mcs_index,spectral_efficiency_bpshz,throughput_mbps_mcs
2.0,V2I,BS_1,wn_0,-96.76,126.76,1100.49,False,1,2.109063877711e-13,2.109063877711e-13,1.0,inf,inf,D,2.1086281499332891e-13,0.5268935906879781,-2.7827708430019276,61059952.412827425,61.05995241282743,1,0.38,38.0
2.0,V2I,BS_1,se_0,-96.79,126.79,1104.16,False,1,2.095075723291e-13,2.095075723291e-13,1.0,inf,inf,D,2.0941124558508913e-13,0.5232664807223616,-2.812770843001929,60716834.94330471,60.71683494330471,1,0.38,38.0
2.0,V2V,we_0,we_1,-55.09,78.09,0.03,True,2,3.096567885704e-09,3.095949142371e-09,0.9998,5003.608085,36.99,D,3.0974192992165773e-09,7739.678408837025,38.887229156998075,1291824429.730753,1291.8244297307529,7,5.5,550.0
2.0,V2V,we_0,we_2,-61.28,84.28,0.18,True,2,7.451406232797e-10,7.224017580916e-10,0.969484,31.769473,15.02,D,7.447319739059888e-10,1860.8994850224608,32.69722915699808,1086255947.5510554,1086.2559475510554,7,5.5,550.0
2.0,V2V,we_0,wn_0,-59.59,82.59,0.18,True,2,1.098696019881e-09,1.076421158662e-09,0.979726,48.324483,16.84,D,1.0990058394325198e-09,2746.1415278173904,34.38722915699807,1142371552.2058263,1142.3715522058264,7,5.5,550.0
2.0,V2V,we_1,we_0,-55.09,78.09,0.03,True,2,3.09656788843e-09,3.095949142371e-09,0.9998,5003.586043,36.99,D,3.0974192992165773e-09,7739.678408837025,38.887229156998075,1291824429.730753,1291.8244297307529,7,5.5,550.0
2.0,V2V,we_1,we_2,-55.68,78.68,0.04,True,2,2.704542479513e-09,2.703227293981e-09,0.999514,2055.396162,33.13,D,2.703958364108846e-09,6756.517651446392,38.29722915699808,1272227765.9919417,1272.2277659919416,7,5.5,550.0
2.0,V2V,we_1,wn_0,-51.89,74.89,0.31,True,2,6.468140062452e-09,6.39211637969e-09,0.988246,84.080594,19.25,D,6.47142615748583e-09,16170.480153637756,42.08722915699808,1398116411.2324188,1398.1164112324188,7,5.5,550.0
2.0,V2V,we_2,we_0,-61.28,84.28,0.18,True,2,7.451390352681e-10,7.224017580916e-10,0.969486,31.771692,15.02,D,7.447319739059888e-10,1860.8994850224608,32.69722915699808,1086255947.5510554,1086.2559475510554,7,5.5,550.0
2.0,V2V,we_2,we_1,-55.68,78.68,0.04,True,2,2.704542197682e-09,2.703227293981e-09,0.999514,2055.836707,33.13,D,2.703958364108846e-09,6756.517651446392,38.29722915699808,1272227765.9919417,1272.2277659919416,7,5.5,550.0
2.0,V2V,we_2,wn_0,-46.56,69.56,0.07,True,2,2.209835484911e-08,2.209304470833e-08,0.99976,4160.538418,36.19,D,2.2080047330188972e-08,55172.532059442696,47.41722915699807,1575168872.0389,1575.1688720389002,7,5.5,550.0
2.0,V2V,sn_0,sn_1,-55.69,78.69,0.05,True,2,2.697885360091e-09,2.695860116451e-09,0.999249,1331.12879,31.24,D,2.69773943244492e-09,6740.978092066267,38.28722915699807,1271895622.3980844,1271.8956223980845,7,5.5,550.0
2.0,V2V,sn_0,sn_2,-61.54,84.54,0.29,True,2,7.016883774453e-10,6.319079033698e-10,0.900553,9.055655,9.57,D,7.014552984199712e-10,1752.761865117369,32.43722915699807,1077623714.9127693,1077.6237149127694,7,5.5,550.0
2.0,V2V,sn_0,se_0,-59.89,82.89,0.25,True,2,1.026552453048e-09,9.811819764475e-10,0.955803,21.626001,13.35,D,1.0256519262514081e-09,2562.848391432803,34.08722915699808,1132409523.7962394,1132.4095237962397,7,5.5,550.0
2.0,V2V,sn_1,sn_0,-55.69,78.69,0.05,True,2,2.69788466698e-09,2.695860116451e-09,0.99925,1331.584506,31.24,D,2.69773943244492e-09,6740.978092066267,38.28722915699807,1271895622.3980844,1271.8956223980845,7,5.5,550.0
2.0,V2V,sn_1,sn_2,-56.24,79.24,0.08,True,2,2.379402150381e-09,2.374672300116e-09,0.998012,502.060777,27.01,D,2.3768402866248732e-09,5939.13115098669,37.73722915699807,1253627906.9019663,1253.6279069019663,7,5.5,550.0
2.0,V2V,sn_1,se_0,-52.01,75.01,0.27,True,2,6.289571751645e-09,6.234379530028e-09,0.991225,112.957575,20.53,D,6.295061828571981e-09,15729.789676591656,41.96722915699808,1394130347.4581947,1394.1303474581948,7,5.5,550.0
2.0,V2V,sn_2,sn_0,-61.54,84.54,0.29,True,2,7.016827619484e-10,6.319079033698e-10,0.900561,9.056384,9.57,D,7.014552984199712e-10,1752.761865117369,32.43722915699807,1077623714.9127693,1077.6237149127694,7,5.5,550.0
2.0,V2V,sn_2,sn_1,-56.24,79.24,0.08,True,2,2.379397618248e-09,2.374672300116e-09,0.998014,502.542312,27.01,D,2.3768402866248732e-09,5939.13115098669,37.73722915699807,1253627906.9019663,1253.6279069019663,7,5.5,550.0
2.0,V2V,sn_2,se_0,-47.86,70.86,0.41,True,2,1.635907503457e-08,1.620026815031e-08,0.990292,102.01238,20.09,D,1.63681652142781e-08,40899.96305416816,46.11722915699808,1531984719.2817087,1531.9847192817087,7,5.5,550.0
2.0,V2V,ew_0,ew_1,-55.32,78.32,0.01,True,2,2.93931451683e-09,2.939210721416e-09,0.999965,28317.346684,44.52,D,2.93764965196153e-09,7340.453902952349,38.65722915699807,1284185008.7630725,1284.1850087630726,7,5.5,550.0
2.0,V2V,ew_1,ew_0,-55.32,78.32,0.01,True,2,2.939314710399e-09,2.939210721416e-09,0.999965,28264.635658,44.51,D,2.93764965196153e-09,7340.453902952349,38.65722915699807,1284185008.7630725,1284.1850087630726,7,5.5,550.0
2.0,V2V,ns_0,ns_1,-55.9,78.9,0.03,True,2,2.568976439795e-09,2.568184406299e-09,0.999692,3242.519945,35.11,D,2.5703957827688646e-09,6422.778067888216,38.07722915699807,1264920633.5380344,1264.9206335380345,7,5.5,550.0
2.0,V2V,ns_1,ns_0,-55.9,78.9,0.03,True,2,2.568978405513e-09,2.568184406299e-09,0.999691,3234.49238,35.1,D,2.5703957827688646e-09,6422.778067888216,38.07722915699807,1264920633.5380344,1264.9206335380345,7,5.5,550.0
2.0,V2V,wn_0,we_0,-59.59,82.59,0.18,True,2,1.098694121743e-09,1.076421158662e-09,0.979728,48.328602,16.84,D,1.0990058394325198e-09,2746.1415278173904,34.38722915699807,1142371552.2058263,1142.3715522058264,7,5.5,550.0
2.0,V2V,wn_0,we_1,-51.89,74.89,0.31,True,2,6.468144470672e-09,6.39211637969e-09,0.988246,84.075719,19.25,D,6.47142615748583e-09,16170.480153637756,42.08722915699808,1398116411.2324188,1398.1164112324188,7,5.5,550.0
2.0,V2V,wn_0,we_2,-46.56,69.56,0.07,True,2,2.20983706022e-08,2.209304470833e-08,0.999759,4148.232252,36.18,D,2.2080047330188972e-08,55172.532059442696,47.41722915699807,1575168872.0389,1575.1688720389002,7,5.5,550.0
2.0,V2V,se_0,sn_0,-59.89,82.89,0.25,True,2,1.026548468482e-09,9.811819764475e-10,0.955807,21.627901,13.35,D,1.0256519262514081e-09,2562.848391432803,34.08722915699808,1132409523.7962394,1132.4095237962397,7,5.5,550.0
2.0,V2V,se_0,sn_1,-52.01,75.01,0.27,True,2,6.289571773797e-09,6.234379530028e-09,0.991225,112.95753,20.53,D,6.295061828571981e-09,15729.789676591656,41.96722915699808,1394130347.4581947,1394.1303474581948,7,5.5,550.0
2.0,V2V,se_0,sn_2,-47.86,70.86,0.41,True,2,1.635907937634e-08,1.620026815031e-08,0.990292,102.009591,20.09,D,1.63681652142781e-08,40899.96305416816,46.11722915699808,1531984719.2817087,1531.9847192817087,7,5.5,550.0
3.0,V2I,BS_1,we_0,-96.24,126.24,1037.15,False,1,2.374567283598e-13,2.374567283598e-13,1.0,inf,inf,D,2.3768402866248833e-13,0.5939131150986714,-2.2627708430019142,67257298.95337729,67.25729895337729,1,0.38,38.0
3.0,V2I,BS_1,we_1,-96.41,126.41,1057.21,False,1,2.2853119815189996e-13,2.2853119815189996e-13,1.0,inf,inf,D,2.28559880337543e-13,0.5711141437719714,-2.4327708430019266,65178799.83734827,65.17879983734827,1,0.38,38.0
3.0,V2I,BS_1,we_2,-96.59,126.59,1078.81,False,1,2.1946865752759997e-13,2.1946865752759997e-13,1.0,inf,inf,D,2.1928049353504455e-13,0.54792727020251,-2.6127708430019334,63033768.76430885,63.033768764308846,1,0.38,38.0
3.0,V2I,BS_1,we_3,-96.77,126.77,1101.98,False,1,2.103385440489e-13,2.103385440489e-13,1.0,inf,inf,D,2.1037784397664777e-13,0.5256817690570907,-2.792770843001922,60945407.22110379,60.945407221103785,1,0.38,38.0
3.0,V2I,BS_1,sn_0,-96.24,126.24,1037.18,False,1,2.374432816421e-13,2.374432816421e-13,1.0,inf,inf,D,2.3768402866248833e-13,0.5939131150986714,-2.2627708430019142,67257298.95337729,67.25729895337729,1,0.38,38.0
3.0,V2I,BS_1,sn_1,-96.42,126.42,1058.84,False,1,2.278263786577e-13,2.278263786577e-13,1.0,inf,inf,D,2.280342072000421e-13,0.5698006176912594,-2.442770843001922,65058133.2279614,65.05813322796139,1,0.38,38.0
3.0,V2I,BS_1,sn_2,-96.61,126.61,1082.06,False,1,2.1815146965040003e-13,2.1815146965040003e-13,1.0,inf,inf,D,2.1827299118430039e-13,0.5454097730742137,-2.6327708430019223,62798942.66075102,62.798942660751024,1,0.38,38.0
3.0,V2I,BS_1,sn_3,-96.81,126.81,1106.86,False,1,2.0848693021479997e-13,2.0848693021479997e-13,1.0,inf,inf,D,2.0844908830972842e-13,0.5208622896295062,-2.8327708430019367,60488952.64594872,60.48895264594872,1,0.38,38.0
3.0,V2I,BS_1,ew_0,-73.16,103.16,0.49,True,2,4.8335406857560005e-11,4.274746528976e-11,0.884392,7.649949,8.84,D,4.830588020397728e-11,120.70434833577532,20.81722915699807,692723690.4337369,692.7236904337369,6,4.4,440.00000000000006
3.0,V2I,BS_1,ew_1,-73.19,103.19,0.53,True,2,4.7955858468310005e-11,4.0978036935920006e-11,0.854495,5.872612,7.69,D,4.797334486366892e-11,119.87342544644906,20.787229156998073,691735328.6381537,691.7353286381536,6,4.4,440.00000000000006
3.0,V2I,BS_1,ew_2,-73.36,103.36,0.53,True,2,4.6109075758920006e-11,3.9026462617110005e-11,0.846394,5.510178,7.41,D,4.6131757456037906e-11,115.27175776121416,20.61722915699807,686135690.0636741,686.1356900636741,6,4.4,440.00000000000006
3.0,V2I,BS_1,ns_0,-73.89,103.89,0.14,True,2,4.08765342538e-11,4.050611582262e-11,0.990938,109.352323,20.39,D,4.083193863326919e-11,102.02883216708943,20.08722915699807,668690431.5568678,668.6904315568678,6,4.4,440.00000000000006
3.0,V2I,BS_1,ns_1,-73.76,103.76,0.4,True,2,4.209494428378e-11,3.87461243645e-11,0.920446,11.570083,10.63,D,4.207266283844438e-11,105.12909254983602,20.217229156998073,672967637.7828758,672.9676377828757,6,4.4,440.00000000000006
3.0,V2I,BS_1,ns_2,-74.09,104.09,0.33,True,2,3.8969350966630005e-11,3.681488447427e-11,0.944714,17.087703,12.33,D,3.899419866765428e-11,97.43677827999568,19.887229156998067,662112553.5743841,662.112553574384,5,3.3,330.0
3.0,V2I,BS_1,wn_0,-96.56,126.56,1075.7,False,1,2.207394566252e-13,2.207394566252e-13,1.0,inf,inf,D,2.208004733018897e-13,0.5517253205944269,-2.5827708430019323,63387320.07673663,63.38732007673663,1,0.38,38.0
3.0,V2I,BS_1,wn_1,-96.79,126.79,1104.9,False,1,2.092274951794e-13,2.092274951794e-13,1.0,inf,inf,D,2.0941124558508913e-13,0.5232664807223616,-2.812770843001929,60716834.94330471,60.71683494330471,1,0.38,38.0
3.0,V2I,BS_1,se_0,-96.59,126.59,1079.43,False,1,2.1921768023240003e-13,2.1921768023240003e-13,1.0,inf,inf,D,2.1928049353504455e-13,0.54792727020251,-2.6127708430019334,63033768.76430885,63.033768764308846,1,0.38,38.0
3.0,V2I,BS_1,se_1,-96.82,126.82,1108.84,False,1,2.07742101316e-13,2.07742101316e-13,1.0,inf,inf,D,2.079696687103702e-13,0.5196643396061223,-2.8427708430019134,60375269.92856823,60.37526992856823,1,0.38,38.0
3.0,V2V,we_0,we_1,-54.7,77.7,0.02,True,2,3.386697033004e-09,3.386498630288e-09,0.999941,17068.811855,42.32,D,3.38844156139202e-09,8466.870468245927,39.27722915699807,1304778348.548509,1304.7783485485088,7,5.5,550.0
3.0,V2V,we_0,we_2,-60.85,83.85,0.22,True,2,8.230989208778e-10,7.877461612763e-10,0.957049,22.282452,13.48,D,8.222426499470712e-10,2054.579335200078,33.12722915699808,1100532933.853473,1100.532933853473,7,5.5,550.0
3.0,V2V,we_0,we_3,-64.53,87.53,0.18,True,2,3.523614278738e-10,3.265794686937e-10,0.926831,12.666976,11.03,D,3.523708710424869e-10,880.4869341391476,29.44722915699807,978379537.5097426,978.3795375097426,7,5.5,550.0
3.0,V2V,we_0,wn_0,-60.24,83.24,0.22,True,2,9.460139135303e-10,9.122749779656e-10,0.964336,27.039234,14.32,D,9.462371613657926e-10,2364.410698065449,33.737229156998076,1120787498.0117428,1120.7874980117429,7,5.5,550.0
3.0,V2V,we_0,wn_1,-64.33,87.33,0.27,True,2,3.688638282331e-10,2.987234362479e-10,0.809847,4.258936,6.29,D,3.689775985701504e-10,921.9830049229146,29.647229156998076,985016027.324798,985.016027324798,7,5.5,550.0
3.0,V2V,we_1,we_0,-54.7,77.7,0.02,True,2,3.386696598403e-09,3.386498630288e-09,0.999942,17106.283111,42.33,D,3.38844156139202e-09,8466.870468245927,39.27722915699807,1304778348.548509,1304.7783485485088,7,5.5,550.0
3.0,V2V,we_1,we_2,-55.32,78.32,0.01,True,2,2.939314592263e-09,2.939210721416e-09,0.999965,28296.782045,44.52,D,2.93764965196153e-09,7340.453902952349,38.65722915699807,1284185008.7630725,1284.1850087630726,7,5.5,550.0
3.0,V2V,we_1,we_3,-61.45,84.45,0.2,True,2,7.162936591475e-10,6.870242160949e-10,0.959138,23.472405,13.71,D,7.161434102129013e-10,1789.4637936354352,32.52722915699807,1080611762.9754066,1080.6117629754067,7,5.5,550.0
3.0,V2V,we_1,wn_0,-54.04,77.04,0.09,True,2,3.948568480663e-09,3.942669141555e-09,0.998506,668.32387,28.25,D,3.944573020752785e-09,9856.504299732094,39.93722915699807,1326700671.9282608,1326.7006719282608,7,5.5,550.0
3.0,V2V,we_1,wn_1,-61.88,84.88,0.24,True,2,6.484986121254e-10,6.044496519031e-10,0.932075,13.722223,11.37,D,6.486344335482374e-10,1620.7756960225822,32.09722915699807,1066335858.226094,1066.335858226094,7,5.5,550.0
3.0,V2V,we_2,we_0,-60.85,83.85,0.22,True,2,8.230967223055e-10,7.877461612763e-10,0.957052,22.283838,13.48,D,8.222426499470712e-10,2054.579335200078,33.12722915699808,1100532933.853473,1100.532933853473,7,5.5,550.0
3.0,V2V,we_2,we_1,-55.32,78.32,0.01,True,2,2.93931451683e-09,2.939210721416e-09,0.999965,28317.346684,44.52,D,2.93764965196153e-09,7340.453902952349,38.65722915699807,1284185008.7630725,1284.1850087630726,7,5.5,550.0
3.0,V2V,we_2,we_3,-55.89,78.89,0.06,True,2,2.577136424406e-09,2.575033761913e-09,0.999184,1224.653871,30.88,D,2.576321157002573e-09,6437.584100456204,38.08722915699807,1265252774.6940088,1265.2527746940088,7,5.5,550.0
3.0,V2V,we_2,wn_0,-38.05,61.05,0.79,True,2,1.566077815034e-07,1.547474924428e-07,0.988121,83.184649,19.2,D,1.56675107010815e-07,391492.0215162793,55.92722915699808,1857862706.5698757,1857.8627065698752,7,5.5,550.0
3.0,V2V,we_2,wn_1,-56.93,79.93,0.06,True,2,2.026193306675e-09,2.023738255136e-09,0.998788,824.315996,29.16,D,2.0276827195212836e-09,5066.673462072172,37.04722915699808,1230710785.140079,1230.710785140079,7,5.5,550.0
3.0,V2V,we_3,we_0,-64.53,87.53,0.18,True,2,3.523596086522e-10,3.265794686937e-10,0.926836,12.66787,11.03,D,3.523708710424869e-10,880.4869341391476,29.44722915699807,978379537.5097426,978.3795375097426,7,5.5,550.0
3.0,V2V,we_3,we_1,-61.45,84.45,0.2,True,2,7.162918039291e-10,6.870242160949e-10,0.95914,23.473893,13.71,D,7.161434102129013e-10,1789.4637936354352,32.52722915699807,1080611762.9754066,1080.6117629754067,7,5.5,550.0
3.0,V2V,we_3,we_2,-55.89,78.89,0.06,True,2,2.577135296738e-09,2.575033761913e-09,0.999185,1225.311012,30.88,D,2.576321157002573e-09,6437.584100456204,38.08722915699807,1265252774.6940088,1265.2527746940088,7,5.5,550.0
3.0,V2V,we_3,wn_0,-56.93,79.93,0.06,True,2,2.02611026696e-09,2.023376559539e-09,0.998651,740.158418,28.69,D,2.0276827195212836e-09,5066.673462072172,37.04722915699808,1230710785.140079,1230.710785140079,7,5.5,550.0
3.0,V2V,we_3,wn_1,-37.99,60.99,0.82,True,2,1.589259759488e-07,1.568929892028e-07,0.987208,77.173641,18.87,D,1.5885467485977779e-07,396938.2180404241,55.98722915699807,1859855858.3706465,1859.8558583706465,7,5.5,550.0
3.0,V2V,sn_0,sn_1,-55.33,78.33,0.02,True,2,2.931281652786e-09,2.930859292369e-09,0.999856,6939.237621,38.41,D,2.930893245250324e-09,7323.571327462078,38.64722915699808,1283852861.2546246,1283.8528612546247,7,5.5,550.0
3.0,V2V,sn_0,sn_2,-61.36,84.36,0.25,True,2,7.307958931584e-10,6.851350167283e-10,0.937519,15.004859,11.76,D,7.311390834834173e-10,1826.934241587749,32.61722915699807,1083599845.6238785,1083.5998456238783,7,5.5,550.0
3.0,V2V,sn_0,sn_3,-64.65,87.65,0.25,True,2,3.424824784433e-10,2.853534807989e-10,0.833191,4.994897,6.99,D,3.427677865464498e-10,856.4912207557464,29.327229156998065,974397809.04048,974.3978090404798,7,5.5,550.0
3.0,V2V,sn_0,se_0,-60.83,83.83,0.26,True,2,8.269044224137e-10,7.773496723647e-10,0.940072,15.686683,11.96,D,8.260379495771782e-10,2064.0628425216846,33.14722915699807,1101196997.004283,1101.196997004283,7,5.5,550.0
3.0,V2V,sn_0,se_1,-64.86,87.86,0.24,True,2,3.266446339327e-10,2.700398988593e-10,0.826709,4.770624,6.79,D,3.26587832172336e-10,816.0615496560118,29.11722915699808,967430095.1179756,967.4300951179756,7,5.5,550.0
3.0,V2V,sn_1,sn_0,-55.33,78.33,0.02,True,2,2.931281834587e-09,2.930859292369e-09,0.999856,6936.251978,38.41,D,2.930893245250324e-09,7323.571327462078,38.64722915699808,1283852861.2546246,1283.8528612546247,7,5.5,550.0
3.0,V2V,sn_1,sn_2,-55.9,78.9,0.03,True,2,2.568965175487e-09,2.568174127835e-09,0.999692,3246.547947,35.11,D,2.5703957827688646e-09,6422.778067888216,38.07722915699807,1264920633.5380344,1264.9206335380345,7,5.5,550.0
3.0,V2V,sn_1,sn_3,-61.99,84.99,0.2,True,2,6.318965588476e-10,6.028955215954e-10,0.954105,20.788757,13.18,D,6.324118513762196e-10,1580.239508686206,31.987229156998076,1062684019.2411108,1062.684019241111,7,5.5,550.0
3.0,V2V,sn_1,se_0,-54.81,77.81,0.03,True,2,3.304856543952e-09,3.304372995724e-09,0.999854,6833.595499,38.35,D,3.3036954103681492e-09,8255.110970435153,39.16722915699808,1301124664.6825936,1301.1246646825937,7,5.5,550.0
3.0,V2V,sn_1,se_1,-62.42,85.42,0.15,True,2,5.732306207401e-10,5.567186812354e-10,0.971195,33.716129,15.28,D,5.727960309858291e-10,1431.2744402444507,31.557229156998076,1048409224.070319,1048.4092240703192,7,5.5,550.0
3.0,V2V,sn_2,sn_0,-61.36,84.36,0.25,True,2,7.307923184017e-10,6.851350167283e-10,0.937524,15.006034,11.76,D,7.311390834834173e-10,1826.934241587749,32.61722915699807,1083599845.6238785,1083.5998456238783,7,5.5,550.0
3.0,V2V,sn_2,sn_1,-55.9,78.9,0.03,True,2,2.568964730805e-09,2.568174127835e-09,0.999692,3248.373995,35.12,D,2.5703957827688646e-09,6422.778067888216,38.07722915699807,1264920633.5380344,1264.9206335380345,7,5.5,550.0
3.0,V2V,sn_2,sn_3,-56.44,79.44,0.05,True,2,2.270792778565e-09,2.26888776848e-09,0.999161,1191.010896,30.76,D,2.269864851883821e-09,5671.826216601252,37.53722915699807,1246985195.3309064,1246.9851953309064,7,5.5,550.0
3.0,V2V,sn_2,se_0,-37.43,60.43,0.11,True,2,1.806261966692e-07,1.805833029314e-07,0.999763,4210.015538,36.24,D,1.8071741260109278e-07,451567.74762891734,56.54722915699807,1878458611.7321496,1878.4586117321496,7,5.5,550.0
3.0,V2V,sn_2,se_1,-57.09,80.09,0.08,True,2,1.953866894741e-09,1.949346810146e-09,0.997687,431.263347,26.35,D,1.9543394557753923e-09,4883.406935970495,36.88722915699807,1225396768.565283,1225.396768565283,7,5.5,550.0
3.0,V2V,sn_3,sn_0,-64.65,87.65,0.25,True,2,3.424787237028e-10,2.853534807989e-10,0.833201,4.995226,6.99,D,3.427677865464498e-10,856.4912207557464,29.327229156998065,974397809.04048,974.3978090404798,7,5.5,550.0
3.0,V2V,sn_3,sn_1,-61.99,84.99,0.2,True,2,6.318941193739e-10,6.028955215954e-10,0.954108,20.790506,13.18,D,6.324118513762196e-10,1580.239508686206,31.987229156998076,1062684019.2411108,1062.684019241111,7,5.5,550.0
3.0,V2V,sn_3,sn_2,-56.44,79.44,0.05,True,2,2.270791689835e-09,2.26888776848e-09,0.999162,1191.691958,30.76,D,2.269864851883821e-09,5671.826216601252,37.53722915699807,1246985195.3309064,1246.9851953309064,7,5.5,550.0
3.0,V2V,sn_3,se_0,-57.32,80.32,0.17,True,2,1.855564627864e-09,1.836646467311e-09,0.989805,97.083776,19.87,D,1.8535316234148103e-09,4631.513301886082,36.65722915699807,1217757940.350233,1217.7579403502332,7,5.5,550.0
3.0,V2V,sn_3,se_1,-34.36,57.36,0.61,True,2,3.666205311813e-07,3.645693813265e-07,0.994405,177.739028,22.5,D,3.664375746478334e-07,915636.118560303,59.61722915699808,1980441642.3216631,1980.4416423216633,7,5.5,550.0
3.0,V2V,ew_0,ew_1,-54.94,77.94,0.02,True,2,3.207898778215e-09,3.207500601055e-09,0.999876,8055.461044,39.06,D,3.2062693245054673e-09,8011.667477524906,39.03722915699808,1296806689.133506,1296.806689133506,7,5.5,550.0
3.0,V2V,ew_0,ew_2,-61.15,84.15,0.17,True,2,7.678681868649e-10,7.475275071369e-10,0.97351,36.75037,15.65,D,7.673614893618185e-10,1917.4450009040945,32.82722915699807,1090572169.0176008,1090.5721690176008,7,5.5,550.0
