timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight,num_paths,p_tot_watts,p_max_watts,dominance,k_factor,k_factor_db,prop_mode,received_power_watts,snr,snr_db,theoretical_throughput_bps,theoretical_throughput_mbps
0.0,V2I,BS_1,vehicle_0,-84.41,114.41,0.2,True,2,3.6259239155020002e-12,3.207973600303e-12,0.884733,7.67549,8.85,D,3.622429984166995e-12,9.051549185824573,9.567229156998083,332934596.74819946,332.93459674819945
1.0,V2I,BS_1,vehicle_0,-84.62,114.62,0.07,True,2,3.45373706915e-12,3.414020802173e-12,0.9885,85.960264,19.34,D,3.4514373933585646e-12,8.624281342725048,9.357229156998075,326667881.6851222,326.6678816851222
2.0,V2I,BS_1,vehicle_0,-83.95,113.95,0.2,True,2,4.026409631055e-12,3.64438080408e-12,0.905119,9.539544,9.8,D,4.027170343254595e-12,10.06289441093102,10.027229156998079,346765698.55226326,346.76569855226325
3.0,V2I,BS_1,vehicle_0,-82.4,112.4,0.32,True,2,5.753654280446e-12,3.91220692994e-12,0.679952,2.124528,3.27,D,5.754399373371567e-12,14.378809028914457,11.577229156998072,394287187.68211544,394.2871876821154
4.0,V2I,BS_1,vehicle_0,-83.64,113.64,0.12,True,2,4.326079858924e-12,4.198120150123e-12,0.970421,32.808141,15.16,D,4.325138310350079e-12,10.807442054847773,10.337229156998065,356162455.0351374,356.16245503513744
5.0,V2I,BS_1,vehicle_0,-82.0,112.0,0.34,True,2,6.3029672627e-12,4.511944203672e-12,0.715844,2.519199,4.01,D,6.309573444801943e-12,15.766050586711499,11.977229156998082,406747098.23584807,406.74709823584806
5.0,V2I,BS_1,vehicle_1,-82.88,112.88,0.3,True,2,5.156391372912e-12,3.949774535217e-12,0.765996,3.273429,5.15,D,5.152286445817561e-12,12.874278975056374,11.09722915699807,379434089.36553776,379.4340893655378
5.0,V2I,BS_1,vehicle_2,-80.94,110.94,0.36,True,2,8.055609347982e-12,6.379447751309e-12,0.791926,3.805986,5.8,D,8.053784411990677e-12,20.12439883056141,13.03722915699808,440083837.9879402,440.08383798794017
5.0,V2V,vehicle_0,vehicle_1,-66.95,89.95,0.2,True,2,2.017326814137e-10,1.638761827315e-10,0.812343,4.328878,6.36,D,2.0183663636815598e-10,504.33942120978503,27.02722915699807,898110891.7851509,898.1108917851509
5.0,V2V,vehicle_0,vehicle_2,-73.2,96.2,0.1,True,2,4.788990058339e-11,2.933361145773e-11,0.612522,1.580791,1.99,D,4.78630092322638e-11,119.59772421855021,20.77722915699807,691405887.2389252,691.4058872389252
5.0,V2V,vehicle_1,vehicle_0,-66.95,89.95,0.2,True,2,2.017349215207e-10,1.638761827315e-10,0.812334,4.328622,6.36,D,2.0183663636815598e-10,504.33942120978503,27.02722915699807,898110891.7851509,898.1108917851509
5.0,V2V,vehicle_1,vehicle_2,-78.1,101.1,0.04,True,2,1.5488388250280002e-11,1.4484566516770002e-11,0.935189,14.429421,11.59,D,1.5488166189124828e-11,38.701064940341894,15.877229156998078,531110580.15891963,531.1105801589197
5.0,V2V,vehicle_2,vehicle_0,-73.2,96.2,0.1,True,2,4.7888773607430006e-11,2.933361145773e-11,0.612536,1.580887,1.99,D,4.78630092322638e-11,119.59772421855021,20.77722915699807,691405887.2389252,691.4058872389252
5.0,V2V,vehicle_2,vehicle_1,-78.1,101.1,0.04,True,2,1.5488332697570002e-11,1.4484566516770002e-11,0.935192,14.43022,11.59,D,1.5488166189124828e-11,38.701064940341894,15.877229156998078,531110580.15891963,531.1105801589197
6.0,V2I,BS_1,vehicle_0,-83.11,113.11,0.06,True,2,4.888564874358e-12,4.855362639722e-12,0.993208,146.23602,21.65,D,4.886523593428337e-12,12.210203881630026,10.867229156998075,372358082.76906294,372.35808276906295
6.0,V2I,BS_1,vehicle_1,-83.7,113.7,0.07,True,2,4.263252850246e-12,4.226191879092e-12,0.991307,114.03349,20.57,D,4.265795188015917e-12,10.659158390844368,10.277229156998063,354339174.713274,354.339174713274
6.0,V2I,BS_1,vehicle_2,-80.27,110.27,0.41,True,2,9.392491992499e-12,6.973247933945e-12,0.742428,2.882408,4.6,D,9.397233105646395e-12,23.48134209306945,13.707229156998082,461361074.5154104,461.36107451541045
6.0,V2V,vehicle_0,vehicle_1,-66.91,89.91,0.2,True,2,2.034994862069e-10,1.597659158833e-10,0.785092,3.653164,5.63,D,2.0370420777057192e-10,509.0060164182206,27.067229156998074,899437045.6085393,899.4370456085394
6.0,V2V,vehicle_0,vehicle_2,-73.89,96.89,0.1,True,2,4.081090908071e-11,2.858837022208e-11,0.700508,2.338988,3.69,D,4.0831938633269195e-11,102.02883216708943,20.08722915699807,668690431.5568678,668.6904315568678
6.0,V2V,vehicle_1,vehicle_0,-66.91,89.91,0.2,True,2,2.035024074836e-10,1.597659158833e-10,0.785081,3.65292,5.63,D,2.0370420777057192e-10,509.0060164182206,27.067229156998074,899437045.6085393,899.4370456085394
6.0,V2V,vehicle_1,vehicle_2,-77.47,100.47,0.06,True,2,1.790622613245e-11,1.4117975358780002e-11,0.788439,3.72678,5.71,D,1.7906058540352945e-11,44.742774963400656,16.507229156998072,551547198.3691198,551.5471983691198
6.0,V2V,vehicle_2,vehicle_0,-73.89,96.89,0.1,True,2,4.0810157301900004e-11,2.858837022208e-11,0.700521,2.339132,3.69,D,4.0831938633269195e-11,102.02883216708943,20.08722915699807,668690431.5568678,668.6904315568678
6.0,V2V,vehicle_2,vehicle_1,-77.47,100.47,0.06,True,2,1.790600149873e-11,1.4117975358780002e-11,0.788449,3.727001,5.71,D,1.7906058540352945e-11,44.742774963400656,16.507229156998072,551547198.3691198,551.5471983691198
7.0,V2I,BS_1,vehicle_0,-81.54,111.54,0.35,True,2,7.022198144149e-12,5.2369298134130005e-12,0.745768,2.933413,4.67,D,7.014552984199714e-12,17.527618651173697,12.437229156998075,421160555.9041608,421.1605559041608
7.0,V2I,BS_1,vehicle_1,-81.84,111.84,0.35,True,2,6.5412683949990005e-12,4.537380454001e-12,0.693655,2.264289,3.55,D,6.5463617406727334e-12,16.357725488937362,12.137229156998062,411750600.8060546,411.7506008060546
7.0,V2I,BS_1,vehicle_2,-81.11,111.11,0.13,True,2,7.748588541092e-12,7.616411841493e-12,0.982942,57.622954,17.61,D,7.744617978025175e-12,19.351869010557657,12.867229156998066,434708938.51256573,434.70893851256574
7.0,V2V,vehicle_0,vehicle_1,-67.2,90.2,0.18,True,2,1.905019866212e-10,1.58920246414e-10,0.834218,5.032029,7.02,D,1.9054607179632444e-10,476.1271159328446,26.777229156998068,889822986.9201522,889.8229869201522
7.0,V2V,vehicle_0,vehicle_2,-74.17,97.17,0.09,True,2,3.8242551635140004e-11,2.8388607502950003e-11,0.74233,2.880939,4.6,D,3.8282474331682283e-11,95.65835665088025,19.807229156998073,659482256.1701629,659.4822561701629
7.0,V2V,vehicle_1,vehicle_0,-67.2,90.2,0.18,True,2,1.905042821079e-10,1.58920246414e-10,0.834208,5.031664,7.02,D,1.9054607179632444e-10,476.1271159328446,26.777229156998068,889822986.9201522,889.8229869201522
7.0,V2V,vehicle_1,vehicle_2,-77.3,100.3,0.06,True,2,1.860645616978e-11,1.4026427252660001e-11,0.753847,3.062519,4.86,D,1.8620871366628696e-11,46.52891395959194,16.67722915699808,557073353.1179161,557.0733531179161
7.0,V2V,vehicle_2,vehicle_0,-74.17,97.17,0.09,True,2,3.8241930690770004e-11,2.8388607502950003e-11,0.742342,2.88112,4.6,D,3.8282474331682283e-11,95.65835665088025,19.807229156998073,659482256.1701629,659.4822561701629
7.0,V2V,vehicle_2,vehicle_1,-77.29,100.29,0.06,True,2,1.8657703809400002e-11,1.4026427252660001e-11,0.751777,3.028631,4.81,D,1.8663796908346657e-11,46.63617418377475,16.687229156998065,557398564.5206653,557.3985645206653
