timestamp,optimized_total_throughput_mbps
0.0,317.4747760328183
1.0,325.4777460451084
2.0,333.8323362313231
3.0,343.1442792274149
4.0,352.51805362976535
5.0,1276.5887930937204
6.0,1285.1662555973776
7.0,1296.4701501568918
8.0,1299.1974958664896
9.0,1305.2639546225662
10.0,2419.337766435747
11.0,2119.2119268469332
12.0,2340.5053283047987
13.0,2308.4081286166884
14.0,2384.4566178887353
15.0,2192.4144230782713
16.0,2214.057241451149
17.0,1944.5054062490335
18.0,1974.7005949251593
19.0,2003.1088832292019
20.0,2528.1959208575713
21.0,2599.426247119319
22.0,3365.733448417697
23.0,3303.8150574175756
24.0,2767.5604407613264
25.0,3092.9162361985273
26.0,3273.8518418186413
27.0,2639.9880324752494
28.0,2333.3307147696523
29.0,2321.801337235923
30.0,3663.1005481147467
31.0,3177.202060430845
32.0,3145.252627617408
33.0,3558.31201888252
34.0,3517.523492036148
35.0,3525.8746197083005
36.0,3761.0180046195283
37.0,3388.1609628316437
38.0,3343.659388416615
39.0,3299.7488356580543
40.0,4058.8320722496164
41.0,4887.699171507052
42.0,5058.354806071172
43.0,4647.48515476061
44.0,4949.965009994998
45.0,4213.359308999845
46.0,4675.156508484495
47.0,4230.307958719733
48.0,4234.696004569569
49.0,4247.903659599668
50.0,5122.205470937835
51.0,5120.275736405136
52.0,5209.133184052639
53.0,4626.6255802396145
54.0,4854.074275502295
55.0,5494.833624513101
56.0,4135.724263074397
57.0,5115.337804171136
58.0,4897.952390681733
59.0,4483.755299448129
60.0,4725.223726377747
61.0,4998.311748206699
62.0,4328.271335955392
63.0,4247.780614723788
64.0,4543.435602048767
65.0,4482.537514503934
66.0,3802.7468842418107
67.0,3450.2988224317833
68.0,3392.742704826021
69.0,3534.7256704271267
70.0,4501.456964725488
71.0,4443.016153122233
72.0,4383.14380442465
73.0,3872.052998879398
74.0,3808.9545675445356
75.0,3904.0822275243345
76.0,3841.4667377970845
77.0,3985.48342523826
78.0,3732.540705856163
79.0,3683.418481285993
80.0,4060.2501455214974
81.0,4111.052098163001
82.0,4148.610907293973
83.0,4457.724401334673
84.0,4355.388378972854
85.0,4042.5446314521378
86.0,3969.1048368558627
87.0,3637.9330744919307
88.0,3879.2742576405944
89.0,3612.3751805462325
90.0,3584.6901690523
91.0,3859.7957046623637
92.0,3380.8434552682193
93.0,3253.431784034233
94.0,2617.6973077069233
95.0,2145.3380707038473
96.0,1831.27243632527
97.0,2262.324974264699
98.0,2243.606678345115
99.0,2223.130062272041
