condition,count,mean_shannon_mbps,mean_mcs_mbps,median_shannon_mbps,median_mcs_mbps,p05_shannon_mbps,p05_mcs_mbps,p95_shannon_mbps,p95_mcs_mbps,outage_rate_shannon,outage_rate_mcs,mcs_shannon_ratio
All,1220,349.1068782456503,204.35245901639345,302.3646534101571,148.0,38.74972602400584,15.0,842.7685044299683,550.0,0.001639344262295082,0.0,0.5853578710431483
LOS,674,553.6045614235882,322.6142433234421,561.1396187792485,330.0,181.7851367164109,88.0,911.2255950789339,550.0,0.002967359050445104,0.0,0.5827521407949441
NLOS,546,96.66834626409336,58.366300366300365,70.60057986985782,38.0,37.66769606841632,15.0,182.76621535030512,88.0,0.0,0.0,0.6037788233890584
prop_mode=D,1054,318.8609925356557,186.98861480075902,164.4678501448139,88.0,38.28272022523719,15.0,850.0560493768072,550.0,0.0018975332068311196,0.0,0.5864267476362746
prop_mode=K,166,541.150032091037,314.6024096385542,547.4868573838671,330.0,331.88803960393983,148.0,798.4060249725571,440.00000000000006,0.0,0.0,0.5813589411108618
LOS & prop_mode=D,514,556.2851945361105,324.0856031128405,573.0265756603674,330.0,101.67446219463984,88.0,969.7527875362135,550.0,0.0038910505836575876,0.0,0.5825889423195909
LOS & prop_mode=K,160,544.9930275496098,317.8875,552.1986882580402,330.0,345.18333462052306,148.0,798.4060249725571,440.00000000000006,0.0,0.0,0.5832872787919534
NLOS & prop_mode=D,540,92.86832618707483,56.492592592592594,69.96062089818354,38.0,37.66769606841632,15.0,178.81463490606495,88.0,0.0,0.0,0.6083085042234248
NLOS & prop_mode=K,6,438.6701531957597,227.0,332.03750846434593,148.0,328.7533559818472,148.0,663.6000384713504,412.50000000000006,0.0,0.0,0.5174730907637102
