timestamp,vehicle_id,selected_action_type,selected_bs_id,selected_relay_id,accepted,opt_rate_used,truth_rate_mcs_effective,method,objective
0.0,vehicle_0,direct,BS_1,-1,1,88.0,148.0,proposed_optimal_dkmcs,throughput
1.0,vehicle_0,direct,BS_1,-1,1,88.0,148.0,proposed_optimal_dkmcs,throughput
2.0,vehicle_0,direct,BS_1,-1,1,88.0,240.0,proposed_optimal_dkmcs,throughput
3.0,vehicle_0,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
4.0,vehicle_0,direct,BS_1,-1,1,88.0,240.0,proposed_optimal_dkmcs,throughput
5.0,vehicle_2,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
5.0,vehicle_1,relay,BS_1,vehicle_0,1,148.0,240.0,proposed_optimal_dkmcs,throughput
5.0,vehicle_0,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
6.0,vehicle_2,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
6.0,vehicle_1,relay,BS_1,vehicle_2,1,148.0,240.0,proposed_optimal_dkmcs,throughput
6.0,vehicle_0,relay,BS_1,vehicle_2,1,148.0,240.0,proposed_optimal_dkmcs,throughput
7.0,vehicle_2,relay,BS_1,vehicle_0,1,148.0,240.0,proposed_optimal_dkmcs,throughput
7.0,vehicle_1,relay,BS_1,vehicle_2,1,148.0,240.0,proposed_optimal_dkmcs,throughput
7.0,vehicle_0,relay,BS_1,vehicle_1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
8.0,vehicle_2,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
8.0,vehicle_1,relay,BS_1,vehicle_0,1,148.0,240.0,proposed_optimal_dkmcs,throughput
8.0,vehicle_0,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
9.0,vehicle_2,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
9.0,vehicle_1,relay,BS_1,vehicle_2,1,148.0,240.0,proposed_optimal_dkmcs,throughput
9.0,vehicle_0,relay,BS_1,vehicle_2,1,148.0,240.0,proposed_optimal_dkmcs,throughput
10.0,vehicle_2,relay,BS_1,vehicle_1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
10.0,vehicle_1,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
10.0,vehicle_0,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
10.0,flow_west.0,relay,BS_1,vehicle_1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
10.0,flow_east.0,direct,BS_1,-1,1,88.0,240.0,proposed_optimal_dkmcs,throughput
11.0,vehicle_2,relay,BS_1,flow_west.0,1,148.0,240.0,proposed_optimal_dkmcs,throughput
11.0,vehicle_1,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
11.0,vehicle_0,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
11.0,flow_west.0,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
11.0,flow_east.0,direct,BS_1,-1,1,88.0,148.0,proposed_optimal_dkmcs,throughput
12.0,vehicle_2,relay,BS_1,vehicle_1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
12.0,vehicle_1,relay,BS_1,vehicle_0,1,148.0,240.0,proposed_optimal_dkmcs,throughput
12.0,vehicle_0,relay,BS_1,vehicle_1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
12.0,flow_west.0,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
12.0,flow_east.0,direct,BS_1,-1,1,88.0,148.0,proposed_optimal_dkmcs,throughput
13.0,vehicle_2,relay,BS_1,vehicle_1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
13.0,vehicle_1,relay,BS_1,vehicle_0,1,148.0,240.0,proposed_optimal_dkmcs,throughput
13.0,vehicle_0,relay,BS_1,flow_west.0,1,148.0,240.0,proposed_optimal_dkmcs,throughput
13.0,flow_west.0,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
13.0,flow_east.0,direct,BS_1,-1,1,88.0,148.0,proposed_optimal_dkmcs,throughput
14.0,vehicle_2,direct,BS_1,-1,1,148.0,330.0,proposed_optimal_dkmcs,throughput
14.0,vehicle_1,relay,BS_1,vehicle_2,1,148.0,330.0,proposed_optimal_dkmcs,throughput
14.0,vehicle_0,relay,BS_1,vehicle_1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
14.0,flow_west.0,relay,BS_1,vehicle_0,1,148.0,240.0,proposed_optimal_dkmcs,throughput
14.0,flow_east.0,direct,BS_1,-1,1,88.0,148.0,proposed_optimal_dkmcs,throughput
15.0,vehicle_2,direct,BS_1,-1,1,240.0,330.0,proposed_optimal_dkmcs,throughput
15.0,vehicle_1,relay,BS_1,vehicle_2,1,240.0,330.0,proposed_optimal_dkmcs,throughput
15.0,vehicle_0,relay,BS_1,vehicle_2,1,240.0,330.0,proposed_optimal_dkmcs,throughput
15.0,flow_west.0,relay,BS_1,vehicle_0,1,148.0,240.0,proposed_optimal_dkmcs,throughput
15.0,flow_east.0,direct,BS_1,-1,1,88.0,148.0,proposed_optimal_dkmcs,throughput
16.0,vehicle_2,direct,BS_1,-1,1,240.0,330.0,proposed_optimal_dkmcs,throughput
16.0,vehicle_1,relay,BS_1,vehicle_2,1,240.0,330.0,proposed_optimal_dkmcs,throughput
16.0,vehicle_0,relay,BS_1,vehicle_2,1,240.0,330.0,proposed_optimal_dkmcs,throughput
16.0,flow_west.0,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
16.0,flow_east.0,direct,BS_1,-1,1,88.0,148.0,proposed_optimal_dkmcs,throughput
17.0,flow_west.0,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
17.0,vehicle_2,direct,BS_1,-1,1,240.0,330.0,proposed_optimal_dkmcs,throughput
17.0,vehicle_1,relay,BS_1,flow_west.0,1,148.0,240.0,proposed_optimal_dkmcs,throughput
17.0,vehicle_0,relay,BS_1,vehicle_2,1,240.0,330.0,proposed_optimal_dkmcs,throughput
18.0,flow_west.0,relay,BS_1,vehicle_1,1,148.0,330.0,proposed_optimal_dkmcs,throughput
18.0,vehicle_2,direct,BS_1,-1,1,240.0,330.0,proposed_optimal_dkmcs,throughput
18.0,vehicle_1,relay,BS_1,vehicle_2,1,148.0,240.0,proposed_optimal_dkmcs,throughput
18.0,vehicle_0,relay,BS_1,vehicle_2,1,240.0,330.0,proposed_optimal_dkmcs,throughput
19.0,flow_west.0,relay,BS_1,vehicle_1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
19.0,vehicle_2,relay,BS_1,vehicle_0,1,240.0,330.0,proposed_optimal_dkmcs,throughput
19.0,vehicle_1,relay,BS_1,vehicle_0,1,240.0,330.0,proposed_optimal_dkmcs,throughput
19.0,vehicle_0,relay,BS_1,vehicle_2,1,240.0,330.0,proposed_optimal_dkmcs,throughput
20.0,vehicle_2,direct,BS_1,-1,1,240.0,330.0,proposed_optimal_dkmcs,throughput
20.0,vehicle_1,relay,BS_1,vehicle_0,1,240.0,330.0,proposed_optimal_dkmcs,throughput
20.0,vehicle_0,direct,BS_1,-1,1,240.0,330.0,proposed_optimal_dkmcs,throughput
20.0,flow_west.1,relay,BS_1,vehicle_2,1,240.0,330.0,proposed_optimal_dkmcs,throughput
20.0,flow_west.0,direct,BS_1,-1,1,148.0,240.0,proposed_optimal_dkmcs,throughput
20.0,flow_east.1,relay,BS_1,flow_west.0,1,148.0,240.0,proposed_optimal_dkmcs,throughput
21.0,vehicle_2,relay,BS_1,vehicle_0,1,240.0,330.0,proposed_optimal_dkmcs,throughput
