timestamp,optimized_total_throughput_mbps
0.0,15.0
1.0,1045.0
2.0,3300.0
3.0,4880.0
4.0,6855.0
5.0,8280.0
6.0,10380.0
7.0,12360.0
8.0,14245.0
9.0,16135.0
10.0,17890.0
11.0,19855.0
12.0,22040.0
13.0,23560.0
14.0,25120.0
15.0,25995.0
16.0,27630.0
17.0,27960.0
18.0,27670.0
19.0,27650.0
