timestamp,optimized_total_throughput_mbps,solve_status
0.0,38.0,Optimal
1.0,1358.0,Optimal
2.0,3850.0,Optimal
3.0,5830.0,Optimal
4.0,8288.0,Optimal
5.0,9900.0,Optimal
6.0,12100.0,Optimal
7.0,13860.0,Optimal
8.0,15548.0,Optimal
9.0,17600.0,Optimal
10.0,19250.0,Optimal
11.0,21048.0,Optimal
12.0,23210.0,Optimal
13.0,24750.0,Optimal
14.0,26400.0,Optimal
15.0,27148.0,Optimal
16.0,28710.0,Optimal
17.0,29150.0,Optimal
18.0,29150.0,Optimal
19.0,29150.0,Optimal
20.0,29150.0,Optimal
21.0,29150.0,Optimal
22.0,29150.0,Optimal
23.0,29150.0,Optimal
24.0,29150.0,Optimal
25.0,29150.0,Optimal
26.0,28820.0,Optimal
27.0,28820.0,Optimal
28.0,28620.0,Optimal
29.0,28820.0,Optimal
30.0,28820.0,Optimal
31.0,29150.0,Optimal
32.0,29150.0,Optimal
33.0,29150.0,Optimal
34.0,29150.0,Optimal
35.0,29150.0,Optimal
36.0,29150.0,Optimal
37.0,29150.0,Optimal
38.0,29150.0,Optimal
39.0,29150.0,Optimal
40.0,28710.0,Optimal
41.0,27500.0,Optimal
42.0,25850.0,Optimal
43.0,24398.0,Optimal
44.0,23210.0,Optimal
45.0,22000.0,Optimal
46.0,21010.0,Optimal
47.0,18848.0,Optimal
48.0,17710.0,Optimal
49.0,15950.0,Optimal
50.0,13200.0,Optimal
51.0,11698.0,Optimal
52.0,10560.0,Optimal
53.0,8250.0,Optimal
54.0,6050.000000000001,Optimal
55.0,4400.0,Optimal
56.0,2568.0000000000005,Optimal
57.0,880.0000000000001,Optimal
58.0,880.0000000000001,Optimal
59.0,660.0,Optimal
60.0,770.0,Optimal
