timestamp,optimized_total_throughput_mbps
0.0,62.09865284889688
1.0,66.39521779025206
2.0,71.56981932398963
3.0,77.60183654293029
4.0,84.15673106809948
5.0,586.401449173364
6.0,573.3525179252946
7.0,568.7906241888353
8.0,626.6795958074815
9.0,628.8399239387295
10.0,855.7832857161729
11.0,897.7880216452795
12.0,1067.0631070828792
13.0,1113.7485331958635
14.0,1166.6475119320912
15.0,1284.7365604719644
16.0,1290.8178849818485
17.0,1335.099161969315
18.0,1868.9277109781265
19.0,2064.21750519088
20.0,2251.0116636342555
21.0,2374.4782945087964
22.0,2519.723386385557
23.0,2523.8611276036063
24.0,2848.703317735489
25.0,3122.0097034518703
26.0,2477.5849075457445
27.0,2608.395439117352
28.0,2645.893669077872
29.0,2671.8705581843924
30.0,2689.4586129433446
31.0,2600.9607134786634
32.0,1964.8296816593197
33.0,2020.2784251234016
34.0,2332.346265589128
35.0,2435.9880682852995
36.0,2770.342671708223
37.0,2668.644027834963
38.0,2744.1318539001622
39.0,2686.930785303828
40.0,2718.998944899202
41.0,3120.337510164266
42.0,2355.025411067791
43.0,1974.345257405551
44.0,1980.720065227347
45.0,2501.0325794846085
46.0,2496.3587350087573
47.0,2208.361834425851
48.0,2219.1438573891537
49.0,1584.4494639488594
50.0,1598.327463746387
51.0,1606.1023050195834
52.0,1605.33739437028
53.0,1342.6569735611938
54.0,1419.4542685723961
55.0,1514.4609783520198
56.0,1074.0980412708768
57.0,823.5611715740723
58.0,365.1659554222209
59.0,847.9310857873236
60.0,934.3756841707467
61.0,958.2598392310787
62.0,1441.0344588504274
63.0,1456.9677810565179
64.0,1466.510306825328
65.0,1696.0574797856611
66.0,1528.962006267302
67.0,1521.9390310401468
68.0,864.6288551025436
69.0,865.4143429863653
70.0,215.42206358958973
71.0,232.87185016865425
72.0,250.32425399538403
73.0,690.4176008383204
74.0,795.4282207993001
75.0,945.534346704552
76.0,1181.8899092265915
77.0,1092.896316293829
78.0,886.1766222112971
79.0,754.7588240948295
80.0,372.4279459225006
81.0,855.806854755321
82.0,876.8658255310013
83.0,894.176581686121
84.0,1365.7020173969618
85.0,1373.264319202118
86.0,1372.9301167532371
87.0,1365.6888517065947
88.0,1352.2045601963907
89.0,689.758774878471
90.0,684.4890930385938
91.0,675.9294895208133
92.0,664.7433432510916
93.0,651.9229750518001
