timestamp,optimized_total_throughput_mbps,solve_status
0.0,15.0,Optimal
1.0,1045.0,Optimal
2.0,3300.0,Optimal
3.0,4880.0,Optimal
4.0,6855.0,Optimal
5.0,8280.0,Optimal
6.0,10380.0,Optimal
7.0,12360.0,Optimal
8.0,14245.0,Optimal
9.0,16135.0,Optimal
10.0,17890.0,Optimal
11.0,19855.0,Optimal
12.0,22040.0,Optimal
13.0,23560.0,Optimal
14.0,25120.0,Optimal
15.0,25995.0,Optimal
16.0,27630.0,Optimal
17.0,27960.0,Optimal
18.0,27670.0,Optimal
19.0,27650.0,Optimal
20.0,27960.0,Optimal
21.0,27960.0,Optimal
22.0,28050.0,Optimal
23.0,27960.0,Optimal
24.0,27850.0,Optimal
25.0,27740.0,Optimal
26.0,27740.0,Optimal
27.0,27540.0,Optimal
28.0,27500.0,Optimal
29.0,27520.0,Optimal
30.0,27740.0,Optimal
31.0,27850.0,Optimal
32.0,27760.0,Optimal
33.0,27960.0,Optimal
34.0,28050.0,Optimal
35.0,27960.0,Optimal
36.0,28050.0,Optimal
37.0,27940.0,Optimal
38.0,27760.0,Optimal
39.0,27830.0,Optimal
40.0,27410.0,Optimal
41.0,26180.0,Optimal
42.0,24530.0,Optimal
43.0,22935.0,Optimal
44.0,21820.0,Optimal
45.0,20630.0,Optimal
46.0,19730.0,Optimal
47.0,17545.0,Optimal
48.0,16410.0,Optimal
49.0,14760.0,Optimal
50.0,11585.0,Optimal
51.0,10265.0,Optimal
52.0,9150.0,Optimal
53.0,6475.0,Optimal
54.0,4365.0,Optimal
55.0,3175.0,Optimal
56.0,1595.0,Optimal
57.0,480.0,Optimal
58.0,480.0,Optimal
59.0,480.0,Optimal
60.0,480.0,Optimal
