timestamp,vehicle_id,action_type,bs_id,relay_id,rate_shannon,rate_mcs,rate_dkmcs,truth_rate_mcs
3.0,wn_0,relay,BS_1,we_1,65.17879983734827,38.0,15.0,38.0
3.0,wn_0,relay,BS_1,we_3,60.945407221103785,38.0,15.0,38.0
3.0,wn_0,relay,BS_1,wn_1,60.71683494330471,38.0,15.0,38.0
3.0,wn_0,relay,BS_1,we_0,67.25729895337729,38.0,15.0,38.0
3.0,ew_1,direct,BS_1,-1,691.7353286381536,440.00000000000006,240.0,440.00000000000006
3.0,ew_1,relay,BS_1,ew_0,692.7236904337369,440.00000000000006,240.0,440.00000000000006
3.0,ew_1,relay,BS_1,ew_2,686.1356900636741,440.00000000000006,240.0,440.00000000000006
3.0,ew_0,direct,BS_1,-1,692.7236904337369,440.00000000000006,240.0,440.00000000000006
3.0,ew_0,relay,BS_1,ew_1,691.7353286381536,440.00000000000006,240.0,440.00000000000006
3.0,ew_0,relay,BS_1,ew_2,686.1356900636741,440.00000000000006,240.0,440.00000000000006
3.0,sn_0,direct,BS_1,-1,67.25729895337729,38.0,15.0,38.0
3.0,sn_0,relay,BS_1,sn_1,65.05813322796139,38.0,15.0,38.0
3.0,sn_0,relay,BS_1,se_0,63.033768764308846,38.0,15.0,38.0
3.0,sn_0,relay,BS_1,sn_2,62.798942660751024,38.0,15.0,38.0
3.0,sn_0,relay,BS_1,sn_3,60.48895264594872,38.0,15.0,38.0
3.0,sn_0,relay,BS_1,se_1,60.37526992856823,38.0,15.0,38.0
3.0,we_3,direct,BS_1,-1,60.945407221103785,38.0,15.0,38.0
3.0,we_3,relay,BS_1,wn_1,60.71683494330471,38.0,15.0,38.0
3.0,we_3,relay,BS_1,we_2,63.033768764308846,38.0,15.0,38.0
3.0,we_3,relay,BS_1,wn_0,63.38732007673663,38.0,15.0,38.0
3.0,we_3,relay,BS_1,we_1,65.17879983734827,38.0,15.0,38.0
3.0,we_3,relay,BS_1,we_0,67.25729895337729,38.0,15.0,38.0
3.0,ew_2,direct,BS_1,-1,686.1356900636741,440.00000000000006,240.0,440.00000000000006
3.0,ew_2,relay,BS_1,ew_1,691.7353286381536,440.00000000000006,240.0,440.00000000000006
3.0,ew_2,relay,BS_1,ew_0,692.7236904337369,440.00000000000006,240.0,440.00000000000006
3.0,ns_0,direct,BS_1,-1,668.6904315568678,440.00000000000006,240.0,440.00000000000006
