timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight,num_paths,p_tot_watts,p_max_watts,dominance,k_factor,k_factor_db,prop_mode
2.0,V2V,ew_0,ew_1,-55.32,78.32,0.01,True,2,2.939314516830e-09,2.939210721416e-09,0.999965,28317.346684,44.52,D
2.0,V2V,ew_1,ew_0,-55.32,78.32,0.01,True,2,2.939314710399e-09,2.939210721416e-09,0.999965,28264.635658,44.51,D
2.0,V2V,ns_0,ns_1,-55.90,78.90,0.03,True,2,2.568976439795e-09,2.568184406299e-09,0.999692,3242.519945,35.11,D
2.0,V2V,ns_1,ns_0,-55.90,78.90,0.03,True,2,2.568978405513e-09,2.568184406299e-09,0.999691,3234.492380,35.10,D
2.0,V2V,wn_0,we_0,-59.59,82.59,0.18,True,2,1.098694121743e-09,1.076421158662e-09,0.979728,48.328602,16.84,D
2.0,V2V,wn_0,we_1,-51.89,74.89,0.31,True,2,6.468144470672e-09,6.392116379690e-09,0.988246,84.075719,19.25,D
2.0,V2V,wn_0,we_2,-46.56,69.56,0.07,True,2,2.209837060220e-08,2.209304470833e-08,0.999759,4148.232252,36.18,D
2.0,V2V,se_0,sn_0,-59.89,82.89,0.25,True,2,1.026548468482e-09,9.811819764475e-10,0.955807,21.627901,13.35,D
2.0,V2V,se_0,sn_1,-52.01,75.01,0.27,True,2,6.289571773797e-09,6.234379530028e-09,0.991225,112.957530,20.53,D
2.0,V2V,se_0,sn_2,-47.86,70.86,0.41,True,2,1.635907937634e-08,1.620026815031e-08,0.990292,102.009591,20.09,D
3.0,V2I,BS_1,we_0,-96.24,126.24,1037.15,False,1,2.374567283598e-13,2.374567283598e-13,1.000000,inf,inf,D
3.0,V2I,BS_1,we_1,-96.41,126.41,1057.21,False,1,2.285311981519e-13,2.285311981519e-13,1.000000,inf,inf,D
3.0,V2I,BS_1,we_2,-96.59,126.59,1078.81,False,1,2.194686575276e-13,2.194686575276e-13,1.000000,inf,inf,D
3.0,V2I,BS_1,we_3,-96.77,126.77,1101.98,False,1,2.103385440489e-13,2.103385440489e-13,1.000000,inf,inf,D
3.0,V2I,BS_1,sn_0,-96.24,126.24,1037.18,False,1,2.374432816421e-13,2.374432816421e-13,1.000000,inf,inf,D
3.0,V2I,BS_1,sn_1,-96.42,126.42,1058.84,False,1,2.278263786577e-13,2.278263786577e-13,1.000000,inf,inf,D
3.0,V2I,BS_1,sn_2,-96.61,126.61,1082.06,False,1,2.181514696504e-13,2.181514696504e-13,1.000000,inf,inf,D
3.0,V2I,BS_1,sn_3,-96.81,126.81,1106.86,False,1,2.084869302148e-13,2.084869302148e-13,1.000000,inf,inf,D
3.0,V2I,BS_1,ew_0,-73.16,103.16,0.49,True,2,4.833540685756e-11,4.274746528976e-11,0.884392,7.649949,8.84,D
3.0,V2I,BS_1,ew_1,-73.19,103.19,0.53,True,2,4.795585846831e-11,4.097803693592e-11,0.854495,5.872612,7.69,D
3.0,V2I,BS_1,ew_2,-73.36,103.36,0.53,True,2,4.610907575892e-11,3.902646261711e-11,0.846394,5.510178,7.41,D
3.0,V2I,BS_1,ns_0,-73.89,103.89,0.14,True,2,4.087653425380e-11,4.050611582262e-11,0.990938,109.352323,20.39,D
3.0,V2I,BS_1,ns_1,-73.76,103.76,0.40,True,2,4.209494428378e-11,3.874612436450e-11,0.920446,11.570083,10.63,D
3.0,V2I,BS_1,ns_2,-74.09,104.09,0.33,True,2,3.896935096663e-11,3.681488447427e-11,0.944714,17.087703,12.33,D
3.0,V2I,BS_1,wn_0,-96.56,126.56,1075.70,False,1,2.207394566252e-13,2.207394566252e-13,1.000000,inf,inf,D
3.0,V2I,BS_1,wn_1,-96.79,126.79,1104.90,False,1,2.092274951794e-13,2.092274951794e-13,1.000000,inf,inf,D
3.0,V2I,BS_1,se_0,-96.59,126.59,1079.43,False,1,2.192176802324e-13,2.192176802324e-13,1.000000,inf,inf,D
3.0,V2I,BS_1,se_1,-96.82,126.82,1108.84,False,1,2.077421013160e-13,2.077421013160e-13,1.000000,inf,inf,D
3.0,V2V,we_0,we_1,-54.70,77.70,0.02,True,2,3.386697033004e-09,3.386498630288e-09,0.999941,17068.811855,42.32,D
3.0,V2V,we_0,we_2,-60.85,83.85,0.22,True,2,8.230989208778e-10,7.877461612763e-10,0.957049,22.282452,13.48,D
3.0,V2V,we_0,we_3,-64.53,87.53,0.18,True,2,3.523614278738e-10,3.265794686937e-10,0.926831,12.666976,11.03,D
3.0,V2V,we_0,wn_0,-60.24,83.24,0.22,True,2,9.460139135303e-10,9.122749779656e-10,0.964336,27.039234,14.32,D
3.0,V2V,we_0,wn_1,-64.33,87.33,0.27,True,2,3.688638282331e-10,2.987234362479e-10,0.809847,4.258936,6.29,D
3.0,V2V,we_1,we_0,-54.70,77.70,0.02,True,2,3.386696598403e-09,3.386498630288e-09,0.999942,17106.283111,42.33,D
