timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight,num_paths,p_tot_watts,p_max_watts,dominance,k_factor,k_factor_db,prop_mode
9.0,V2I,BS_1,vehicle_2,-80.38,110.38,938.97,True,1,9.161437408938e-12,9.161437408938e-12,1.000000,inf,inf,D
9.0,V2V,vehicle_0,vehicle_1,-68.48,91.48,106.53,True,1,1.420015802550e-10,1.420015802550e-10,1.000000,inf,inf,D
9.0,V2V,vehicle_0,vehicle_2,-75.38,98.38,235.90,True,1,2.896065149725e-11,2.896065149725e-11,1.000000,inf,inf,D
9.0,V2V,vehicle_1,vehicle_0,-68.48,91.48,106.53,True,1,1.420015802550e-10,1.420015802550e-10,1.000000,inf,inf,D
9.0,V2V,vehicle_1,vehicle_2,-78.62,101.62,342.43,True,1,1.374396822657e-11,1.374396822657e-11,1.000000,inf,inf,D
9.0,V2V,vehicle_2,vehicle_0,-75.38,98.38,235.90,True,1,2.896065149725e-11,2.896065149725e-11,1.000000,inf,inf,D
9.0,V2V,vehicle_2,vehicle_1,-78.62,101.62,342.43,True,1,1.374396822657e-11,1.374396822657e-11,1.000000,inf,inf,D
10.0,V2I,BS_1,flow_east.0,-83.86,113.86,1401.13,True,1,4.114436889154e-12,4.114436889154e-12,1.000000,inf,inf,D
10.0,V2I,BS_1,flow_west.0,-79.71,109.71,869.14,True,1,1.069256881333e-11,1.069256881333e-11,1.000000,inf,inf,D
10.0,V2I,BS_1,vehicle_0,-81.72,111.72,1095.56,True,1,6.729652853309e-12,6.729652853309e-12,1.000000,inf,inf,D
10.0,V2I,BS_1,vehicle_1,-82.48,112.48,1195.19,True,1,5.654430293986e-12,5.654430293986e-12,1.000000,inf,inf,D
10.0,V2I,BS_1,vehicle_2,-79.97,109.97,896.07,True,1,1.005952086584e-11,1.005952086584e-11,1.000000,inf,inf,D
10.0,V2V,flow_east.0,flow_west.0,-94.00,117.00,2011.69,True,1,3.982354888030e-13,3.982354888030e-13,1.000000,inf,inf,D
10.0,V2V,flow_east.0,vehicle_0,-95.05,118.05,2270.77,True,1,3.125497734012e-13,3.125497734012e-13,1.000000,inf,inf,D
10.0,V2V,flow_east.0,vehicle_1,-95.47,118.47,2382.30,True,1,2.839692456655e-13,2.839692456655e-13,1.000000,inf,inf,D
10.0,V2V,flow_east.0,vehicle_2,-94.11,117.11,2037.23,True,1,3.883136545689e-13,3.883136545689e-13,1.000000,inf,inf,D
10.0,V2V,flow_west.0,flow_east.0,-94.00,117.00,2011.69,True,1,3.982354888030e-13,3.982354888030e-13,1.000000,inf,inf,D
10.0,V2V,flow_west.0,vehicle_0,-76.20,99.20,259.32,True,1,2.396591181656e-11,2.396591181656e-11,1.000000,inf,inf,D
10.0,V2V,flow_west.0,vehicle_1,-79.31,102.31,370.79,True,1,1.172237733467e-11,1.172237733467e-11,1.000000,inf,inf,D
10.0,V2V,flow_west.0,vehicle_2,-56.78,79.78,27.70,True,1,2.100023618998e-09,2.100023618998e-09,1.000000,inf,inf,D
10.0,V2V,vehicle_0,flow_east.0,-95.05,118.05,2270.77,True,1,3.125497734012e-13,3.125497734012e-13,1.000000,inf,inf,D
10.0,V2V,vehicle_0,flow_west.0,-76.20,99.20,259.32,True,1,2.396591181656e-11,2.396591181656e-11,1.000000,inf,inf,D
10.0,V2V,vehicle_0,vehicle_1,-68.88,91.88,111.53,True,1,1.295551989155e-10,1.295551989155e-10,1.000000,inf,inf,D
10.0,V2V,vehicle_0,vehicle_2,-75.29,98.29,233.53,True,1,2.955061016951e-11,2.955061016951e-11,1.000000,inf,inf,D
10.0,V2V,vehicle_1,flow_east.0,-95.47,118.47,2382.30,True,1,2.839692456655e-13,2.839692456655e-13,1.000000,inf,inf,D
10.0,V2V,vehicle_1,flow_west.0,-79.31,102.31,370.79,True,1,1.172237733467e-11,1.172237733467e-11,1.000000,inf,inf,D
10.0,V2V,vehicle_1,vehicle_0,-68.88,91.88,111.53,True,1,1.295551989155e-10,1.295551989155e-10,1.000000,inf,inf,D
10.0,V2V,vehicle_1,vehicle_2,-78.69,101.69,345.07,True,1,1.353499787934e-11,1.353499787934e-11,1.000000,inf,inf,D
