scenario,condition,count,distance_mean_m,distance_p05_m,distance_median_m,distance_p95_m,snr_db_mean,snr_db_p05,snr_db_median,snr_db_p95,mcs_index_mode,mcs_index_p50,mcs_index_p95,mean_shannon_mbps,mean_mcs_mbps,mcs_shannon_ratio
default,All,5460,290.5374371597619,29.72999999999999,256.35997269464673,698.1073341542831,10.632524028792947,-0.1927708430019248,9.487229156998074,26.427229156998074,3,3.0,7.0,383.7072990302074,219.00915750915752,0.5707714136861285
default,LOS,5436,291.1435900221399,29.630000000000003,258.0898388158665,698.1573336291451,10.662308259279163,-0.1927708430019248,9.50722915699808,26.442229156998074,3,3.0,7.0,384.61310534655604,219.58756438557762,0.5709310507964049
default,NLOS,24,153.24381383114718,151.15642466243648,154.28062694195822,155.07514897238022,3.886395823664738,3.778729156998077,3.827229156998068,4.005729156998073,2,2.0,2.0,178.5421683772256,88.0,0.49288076200616515
default,prop_mode=D,5447,289.9227322687369,29.72999999999999,255.4800414905243,695.3003637641425,10.64424402756903,-0.1867708430019279,9.497229156998069,26.427229156998074,3,3.0,7.0,384.0602554772057,219.20139526344778,0.5707474078281906
default,prop_mode=K,13,548.0987864992147,262.1495315654788,438.02,965.4000000000001,5.7218445416134545,-0.7207708430019302,6.747229156998066,10.729229156998075,3,3.0,4.0,235.81854773793276,138.46153846153845,0.5871528757585768
default,LOS & D,5423,290.52761776431174,29.370000000000044,257.18990823902874,695.4773618889403,10.674151524691233,-0.1927708430019248,9.50722915699808,26.481229156998054,3,3.0,7.0,384.9697952320276,219.78203946155264,0.5709072300830418
default,LOS & K,13,548.0987864992147,262.1495315654788,438.02,965.4000000000001,5.7218445416134545,-0.7207708430019302,6.747229156998066,10.729229156998075,3,3.0,4.0,235.81854773793276,138.46153846153845,0.5871528757585768
default,NLOS & D,24,153.24381383114718,151.15642466243648,154.28062694195822,155.07514897238022,3.886395823664738,3.778729156998077,3.827229156998068,4.005729156998073,2,2.0,2.0,178.5421683772256,88.0,0.49288076200616515
