scenario_default,condition,count_default,distance_mean_m_default,distance_p05_m_default,distance_median_m_default,distance_p95_m_default,snr_db_mean_default,snr_db_p05_default,snr_db_median_default,snr_db_p95_default,mcs_index_mode_default,mcs_index_p50_default,mcs_index_p95_default,mean_shannon_mbps_default,mean_mcs_mbps_default,mcs_shannon_ratio_default,scenario_corner,count_corner,distance_mean_m_corner,distance_p05_m_corner,distance_median_m_corner,distance_p95_m_corner,snr_db_mean_corner,snr_db_p05_corner,snr_db_median_corner,snr_db_p95_corner,mcs_index_mode_corner,mcs_index_p50_corner,mcs_index_p95_corner,mean_shannon_mbps_corner,mean_mcs_mbps_corner,mcs_shannon_ratio_corner,distance_mean_diff_m,snr_db_mean_diff,mcs_index_mode_diff,mean_shannon_diff_mbps,mean_mcs_diff_mbps
default,All,5460,290.5374371597619,29.72999999999999,256.35997269464673,698.1073341542831,10.632524028792947,-0.1927708430019248,9.487229156998074,26.427229156998074,3,3.0,7.0,383.7072990302074,219.00915750915752,0.5707714136861285,corner_intersection,1220,152.41154749970426,39.63166663162174,149.51891519135629,289.73518413263275,8.493835714375123,-5.112770843001933,8.53222915699807,25.357229156998073,1,3.0,7.0,349.1068782456503,204.35245901639345,0.5853578710431483,-138.12588966005765,-2.1386883144178235,-2,-34.600420784557116,-14.656698492764065
default,LOS,5436,291.1435900221399,29.630000000000003,258.0898388158665,698.1573336291451,10.662308259279163,-0.1927708430019248,9.50722915699808,26.442229156998074,3,3.0,7.0,384.61310534655604,219.58756438557762,0.5709310507964049,corner_intersection,674,132.91209947420217,29.34802063125726,125.75050750475911,277.56400000000014,16.22366832613754,4.021229156998067,16.802229156998067,27.422729156998095,6,5.0,7.0,553.6045614235882,322.6142433234421,0.5827521407949441,-158.23149054793774,5.561360066858375,3,168.99145607703213,103.02667893786449
default,NLOS,24,153.24381383114718,151.15642466243648,154.28062694195822,155.07514897238022,3.886395823664738,3.778729156998077,3.827229156998068,4.005729156998073,2,2.0,2.0,178.5421683772256,88.0,0.49288076200616515,corner_intersection,546,176.48229469602,82.39258036983671,174.44198032583785,299.432379305007,-1.0481188283499119,-5.252770843001927,-1.9977708430019279,4.0647291569980695,1,1.0,2.0,96.66834626409336,58.366300366300365,0.6037788233890584,23.238480864872827,-4.93451465201465,-1,-81.87382211313225,-29.633699633699635
default,prop_mode=D,5447,289.9227322687369,29.72999999999999,255.4800414905243,695.3003637641425,10.64424402756903,-0.1867708430019279,9.497229156998069,26.427229156998074,3,3.0,7.0,384.0602554772057,219.20139526344778,0.5707474078281906,corner_intersection,1054,151.115088612279,37.77000000000001,150.55412117182078,283.10303666395873,7.291745286030331,-5.172770843001935,3.2772291569980707,25.577229156998065,1,2.0,7.0,318.8609925356557,186.98861480075902,0.5864267476362746,-138.8076436564579,-3.3524987415386995,-2,-65.19926294154999,-32.212780462688755
default,prop_mode=K,13,548.0987864992147,262.1495315654788,438.02,965.4000000000001,5.7218445416134545,-0.7207708430019302,6.747229156998066,10.729229156998075,3,3.0,4.0,235.81854773793276,138.46153846153845,0.5871528757585768,corner_intersection,166,160.64328043552476,49.91999999999999,143.13,302.82,16.126385783504098,9.532229156998067,16.382229156998072,24.017229156998077,5,5.0,6.0,541.150032091037,314.6024096385542,0.5813589411108618,-387.45550606369,10.404541241890644,2,305.33148435310426,176.14087117701575
default,LOS & D,5423,290.52761776431174,29.370000000000044,257.18990823902874,695.4773618889403,10.674151524691233,-0.1927708430019248,9.50722915699808,26.481229156998054,3,3.0,7.0,384.9697952320276,219.78203946155264,0.5709072300830418,corner_intersection,514,123.14334009515623,23.08480352213128,123.52717090225997,243.71387487670475,16.216061841822977,0.10022915699807325,17.167229156998076,29.187229156998058,6,5.0,7.0,556.2851945361105,324.0856031128405,0.5825889423195909,-167.3842776691555,5.5419103171317445,3,171.31539930408286,104.30356365128785
default,LOS & K,13,548.0987864992147,262.1495315654788,438.02,965.4000000000001,5.7218445416134545,-0.7207708430019302,6.747229156998066,10.729229156998075,3,3.0,4.0,235.81854773793276,138.46153846153845,0.5871528757585768,corner_intersection,160,164.29423897938713,53.098934030548065,144.245,302.897,16.248104156998075,9.974729156998075,16.527229156998068,24.017229156998077,5,5.0,6.0,544.9930275496098,317.8875,0.5832872787919534,-383.80454751982757,10.526259615384621,2,309.17447981167703,179.42596153846154
default,NLOS & D,24,153.24381383114718,151.15642466243648,154.28062694195822,155.07514897238022,3.886395823664738,3.778729156998077,3.827229156998068,4.005729156998073,2,2.0,2.0,178.5421683772256,88.0,0.49288076200616515,corner_intersection,540,177.7400492378366,84.14465069582143,175.04772520658474,299.68596451031203,-1.2028819541130376,-5.252770843001927,-2.047770843001927,3.898229156998081,1,1.0,2.0,92.86832618707483,56.492592592592594,0.6083085042234248,24.496235406689408,-5.089277777777776,-1,-85.67384219015078,-31.507407407407406
