condition,count,mean_shannon_mbps,mean_mcs_mbps,median_shannon_mbps,median_mcs_mbps,p05_shannon_mbps,p05_mcs_mbps,p95_shannon_mbps,p95_mcs_mbps,outage_rate_shannon,outage_rate_mcs,mcs_shannon_ratio
All,5460,383.7072990302074,219.00915750915752,330.5436492879327,148.0,96.83367296678875,38.0,878.221613439058,550.0,0.0,0.0,0.5707714136861285
LOS,5436,384.61310534655604,219.58756438557762,331.1409714385041,148.0,96.83367296678875,38.0,878.718778614697,550.0,0.0,0.0,0.5709310507964049
NLOS,24,178.5421683772256,88.0,177.1429351712039,88.0,176.00560742403297,88.0,181.36078043343736,88.0,0.0,0.0,0.49288076200616515
prop_mode=D,5447,384.0602554772057,219.20139526344778,330.8422756551894,148.0,96.93123409268264,38.0,878.221613439058,550.0,0.0,0.0,0.5707474078281906
prop_mode=K,13,235.81854773793276,138.46153846153845,251.8156110887872,148.0,88.52552152462391,38.0,368.176523594052,240.0,0.0,0.0,0.5871528757585768
LOS & prop_mode=D,5423,384.9697952320276,219.78203946155264,331.1409714385041,148.0,96.83367296678875,38.0,880.0114080713577,550.0,0.0,0.0,0.5709072300830418
LOS & prop_mode=K,13,235.81854773793276,138.46153846153845,251.8156110887872,148.0,88.52552152462391,38.0,368.176523594052,240.0,0.0,0.0,0.5871528757585768
NLOS & prop_mode=D,24,178.5421683772256,88.0,177.1429351712039,88.0,176.00560742403297,88.0,181.36078043343736,88.0,0.0,0.0,0.49288076200616515
